Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating,,
49,Male,PhD,Divorced,72799,688,45713,Business,Unemployed,19,Poor,0.154313296,120228,0,Port Elizabeth,AS,Cyprus,2,2,Low,,
59,Male,Bachelor's,Single,26508,622,26541,Personal,Unemployed,2,Excellent,0.454964381,157319,3,Robinhaven,PR,Uganda,4,2,Medium,,
42,Non-binary,Master's,Single,116212,707,24771,Home,Employed,11,Excellent,0.114133748,212198,3,Matthewborough,NH,French Guiana,0,2,Medium,5003,49955
65,Male,PhD,Widowed,77146,796,38386,Business,Self-employed,17,Fair,0.323186386,262145,0,Johnsonside,LA,Vietnam,4,1,Medium,,
44,Non-binary,PhD,Widowed,51280,750,22162,Home,Employed,11,Excellent,0.550130495,87579,3,East Danielmouth,AS,Haiti,1,2,Medium,,
39,Female,Master's,Widowed,100015,615,23114,Business,Unemployed,14,Poor,0.484642491,85309,0,New Meganshire,NV,French Polynesia,3,0,Low,,
45,Female,High School,Widowed,82878,748,17023,Auto,Self-employed,19,Poor,0.584911257,192705,4,Penamouth,NH,Ethiopia,4,1,Low,,
41,Female,Master's,Widowed,79556,742,5235,Home,Employed,5,Excellent,0.322356139,247857,0,Onealfurt,WA,Romania,4,0,Low,,
39,Male,Master's,Divorced,56116,636,16578,Personal,Employed,12,Excellent,0.313107732,197835,1,Johnnyberg,NY,South Africa,1,0,Medium,,
31,Female,PhD,Widowed,50885,669,18293,Home,Unemployed,7,Poor,0.258570035,99103,4,Margaretchester,KY,Mayotte,3,2,Low,,
43,Female,Bachelor's,Single,29797,727,10640,Business,Self-employed,14,Excellent,0.509303064,89291,4,Frankport,NE,Austria,3,0,Low,,
22,Female,High School,Widowed,69738,727,15974,Auto,Self-employed,10,Good,0.387483457,238717,1,New Kathryn,OR,Norway,0,1,Low,,
21,Male,Bachelor's,Divorced,39330,769,27489,Home,Self-employed,14,Excellent,0.454610825,284455,3,Martinezmouth,PA,Costa Rica,0,2,Low,,
52,Non-binary,PhD,Divorced,111594,715,9174,Home,Unemployed,4,Good,0.100815126,137074,2,Victoriamouth,MN,Western Sahara,2,1,Low,,
27,Female,High School,Divorced,102789,742,10729,Business,Employed,17,Good,0.271307607,269293,0,Lauratown,AL,Vanuatu,1,0,Medium,,
47,Non-binary,High School,Married,28673,699,19540,Auto,Unemployed,19,Fair,0.408040672,255563,0,North Bonnie,MI,Mali,1,2,Medium,,
34,Female,Bachelor's,Single,42064,760,39482,Personal,Employed,0,Excellent,0.201900219,243318,0,Krystalberg,PA,Lesotho,3,2,Low,,
45,Male,Bachelor's,Divorced,85839,686,29177,Business,Self-employed,11,Excellent,0.260055213,114053,0,Port Vickie,LA,New Caledonia,4,0,Low,,
62,Non-binary,Master's,Single,74850,650,17324,Personal,Self-employed,14,Excellent,0.191276675,151244,0,New Catherineton,OR,Marshall Islands,0,2,Low,,
30,Non-binary,Master's,Widowed,114499,779,40584,Auto,Self-employed,6,Fair,0.284052614,76919,3,New Susan,AR,Mauritius,2,1,Low,,
19,Female,Bachelor's,Single,83471,793,8810,Personal,Self-employed,14,Excellent,0.511546796,145761,4,Baileystad,ND,Mauritania,1,0,Low,,
32,Female,PhD,Single,99688,732,12429,Home,Unemployed,8,Poor,0.430234003,267072,0,Port Sarahton,MI,North Macedonia,3,2,Medium,,
35,Female,PhD,Single,39629,622,9537,Home,Unemployed,2,Fair,0.524358189,48636,1,Desireeville,DC,Sao Tome and Principe,4,0,Low,,
28,Non-binary,Bachelor's,Divorced,98311,689,34763,Business,Employed,8,Excellent,0.388665461,216062,0,West Deanna,TN,India,3,2,Low,,
67,Male,Bachelor's,Widowed,63148,660,16704,Auto,Self-employed,0,Fair,0.334344621,40643,0,Kimberlychester,TX,Tajikistan,4,2,Low,,
28,Male,Bachelor's,Single,94693,718,20928,Business,Unemployed,5,Fair,0.323849811,257028,2,Josephstad,MP,Georgia,4,2,Low,,
27,Male,High School,Single,88173,746,14800,Personal,Self-employed,8,Fair,0.538712246,289092,0,South Susanfurt,KY,Congo,1,1,Low,,
34,Non-binary,High School,Married,70807,745,39572,Business,Employed,18,Good,0.433975274,130451,3,South Audrey,MP,Saint Lucia,4,0,Low,,
40,Female,High School,Widowed,104766,688,35808,Business,Employed,15,Poor,0.320768316,198067,1,West Scottshire,MS,Falkland Islands (Malvinas),4,1,High,,
31,Non-binary,High School,Widowed,63322,773,8074,Business,Employed,5,Fair,0.381467098,267802,3,Port Michaelmouth,ID,Romania,1,0,High,,
18,Non-binary,High School,Widowed,99671,669,30460,Personal,Unemployed,18,Poor,0.433812231,25531,1,Jacquelineborough,MP,Greece,1,1,Medium,,
56,Male,High School,Widowed,73953,710,42364,Home,Self-employed,1,Good,0.555770849,152625,1,North Michael,NY,United States Minor Outlying Islands,2,2,Medium,,
53,Female,PhD,Divorced,88669,720,17468,Home,Self-employed,6,Excellent,0.575977216,199129,0,West Daniel,NE,Japan,4,1,Low,,
33,Non-binary,Bachelor's,Single,46953,627,23284,Business,Self-employed,7,Good,0.233152718,192563,3,West Michelle,VA,Monaco,0,1,Medium,,
30,Non-binary,Master's,Married,55059,756,7413,Personal,Employed,5,Good,0.494801779,29295,4,Walkerborough,WA,Tunisia,0,2,Low,,
66,Male,Master's,Divorced,64764,600,25486,Auto,Employed,17,Good,0.454795899,79556,1,New Latashabury,AZ,Reunion,1,0,Medium,,
20,Female,High School,Married,41961,612,30866,Auto,Employed,11,Excellent,0.300160555,294593,0,Port Kentberg,CO,Brunei Darussalam,2,1,Low,,
56,Non-binary,High School,Divorced,36600,724,26718,Business,Unemployed,17,Excellent,0.179215904,34116,4,Henrystad,PR,Libyan Arab Jamahiriya,4,0,Low,,
27,Female,Bachelor's,Single,55423,785,10956,Personal,Employed,7,Fair,0.3365854,73141,4,Port Lindseyfort,MO,Saint Kitts and Nevis,1,1,Medium,,
68,Non-binary,High School,Widowed,107151,754,39626,Business,Employed,13,Fair,0.302066201,147103,1,South Aprilbury,TX,Equatorial Guinea,2,2,Low,,
19,Male,PhD,Married,105783,649,34842,Home,Unemployed,14,Excellent,0.17893033,169091,4,North Lisa,PW,Serbia,3,0,High,,
59,Male,High School,Divorced,37373,743,12455,Home,Employed,9,Poor,0.303733068,166261,2,Lake Kelsey,AL,Chile,1,1,Low,,
47,Male,High School,Divorced,52577,625,33975,Home,Employed,7,Poor,0.257840383,190682,2,Port Randalltown,VA,Korea,2,0,Low,,
38,Non-binary,Master's,Single,52903,736,37009,Personal,Unemployed,19,Good,0.472939031,291166,2,West Carla,TX,Portugal,0,0,Medium,,
38,Non-binary,PhD,Married,104614,648,40992,Home,Unemployed,2,Fair,0.321351019,166986,3,New Shawnborough,HI,Guatemala,3,1,High,,
32,Male,Master's,Married,99211,631,44886,Personal,Unemployed,3,Fair,0.221320316,123213,1,New Dylan,SD,Rwanda,4,1,High,,
21,Female,Bachelor's,Single,23582,736,19309,Personal,Unemployed,2,Good,0.464172349,229415,4,West Jennifer,OK,Romania,3,2,Low,,
27,Male,Master's,Single,114452,668,36683,Auto,Self-employed,2,Poor,0.382632935,191602,4,Herrerastad,WA,French Guiana,0,2,Low,,
33,Male,Bachelor's,Single,22170,686,44357,Personal,Self-employed,18,Good,0.341188468,87943,4,South Justinshire,ID,Martinique,0,0,High,,
48,Male,PhD,Widowed,106151,626,34164,Auto,Unemployed,10,Good,0.599709538,22135,0,South Renee,SC,Kenya,2,2,Low,,
24,Male,Bachelor's,Married,94667,768,26118,Home,Self-employed,13,Good,0.426268032,104282,1,Vanessaton,HI,Papua New Guinea,2,0,Low,,
49,Female,High School,Divorced,49870,625,29285,Home,Self-employed,7,Poor,0.110209775,187903,2,Wattsview,CT,Moldova,4,0,Low,,
39,Female,Bachelor's,Divorced,81517,711,32838,Business,Employed,19,Fair,0.437870492,148754,4,South Whitneyview,NY,Argentina,3,1,Low,,
54,Male,Bachelor's,Single,60753,778,25200,Personal,Unemployed,12,Good,0.27287163,219389,2,West Anthonyberg,IN,Senegal,3,2,High,,
20,Non-binary,Master's,Widowed,103984,611,5350,Personal,Unemployed,4,Good,0.591137633,203201,1,East Matthew,TX,Turkey,0,1,Low,,
68,Female,High School,Widowed,63130,705,25293,Business,Employed,7,Fair,0.193760999,30506,2,Davemouth,WY,Jersey,1,1,Low,,
21,Male,Master's,Widowed,80200,796,47587,Home,Employed,17,Good,0.280799725,129205,3,East Charleshaven,KY,Aruba,1,2,Low,,
69,Female,PhD,Single,89529,636,11861,Business,Self-employed,2,Excellent,0.278411856,214415,0,South Ashley,RI,Vietnam,2,2,High,,
54,Non-binary,PhD,Divorced,111760,707,36786,Auto,Employed,17,Good,0.126646749,52120,0,Angelaburgh,KS,Luxembourg,4,2,Medium,,
45,Male,Master's,Widowed,22751,776,48368,Home,Employed,7,Fair,0.18131963,139323,4,Lake Heather,CT,Panama,2,0,Medium,,
48,Female,High School,Married,72563,756,15115,Business,Employed,12,Poor,0.45234732,135455,3,Colemanville,NC,Benin,1,1,Medium,,
22,Male,Bachelor's,Widowed,117552,669,34394,Home,Unemployed,18,Fair,0.392459515,227939,1,Newmanville,WY,Guernsey,0,1,Low,,
40,Non-binary,Bachelor's,Divorced,23194,644,18194,Business,Unemployed,2,Poor,0.318496764,230545,4,New Kimberlyland,WA,Netherlands Antilles,3,1,Low,,
64,Male,PhD,Married,27014,780,36704,Home,Unemployed,18,Fair,0.218801819,181585,3,New Donaldside,SC,Saudi Arabia,4,1,Low,,
31,Non-binary,High School,Married,46269,616,35767,Business,Self-employed,7,Poor,0.104931918,272146,0,South Courtneyview,MS,Tajikistan,0,0,Low,,
63,Female,Master's,Widowed,44667,796,24173,Business,Self-employed,17,Good,0.517714268,28982,4,West Richard,CO,Marshall Islands,4,0,Low,,
46,Female,High School,Widowed,37441,642,48806,Personal,Self-employed,7,Poor,0.245534298,140676,3,Ericshire,CO,Lebanon,4,2,Low,,
52,Female,Bachelor's,Married,63815,663,12089,Personal,Unemployed,18,Fair,0.411987962,157076,1,Johnsonbury,CT,Saint Barthelemy,1,1,Low,,
32,Non-binary,High School,Divorced,96844,639,35997,Auto,Unemployed,10,Excellent,0.149014858,212676,1,East Teresaton,CA,Bolivia,2,0,Medium,,
35,Male,PhD,Married,49055,786,21916,Business,Employed,5,Excellent,0.23913224,81355,1,West Denisemouth,ND,Mayotte,1,0,Medium,,
61,Female,PhD,Divorced,85984,742,9671,Business,Unemployed,11,Excellent,0.274405449,238152,1,Brownstad,MI,Cayman Islands,3,0,Low,,
44,Non-binary,PhD,Single,32985,794,32122,Business,Employed,2,Good,0.247962581,131045,0,New Andrewville,AL,Cote d'Ivoire,0,2,Low,,
64,Male,High School,Divorced,24321,789,43084,Home,Employed,8,Good,0.460094868,214252,3,South Bradley,CA,Vanuatu,4,1,Low,,
47,Non-binary,PhD,Divorced,115384,654,6345,Auto,Self-employed,16,Good,0.19980165,93331,0,Gutierrezborough,NJ,Costa Rica,2,1,Low,,
50,Female,PhD,Divorced,55515,717,14867,Personal,Unemployed,7,Poor,0.48665126,132123,2,Wheelerfort,MA,Puerto Rico,1,2,Medium,,
